Full Name,PDS,Role,Rating,Career TSR,Age,Gender,Current Companies,Previous Companies,URL
Aaron M Schapper,CEO: MYERS INDUSTRIES INC since Jan 2025,CEO,A,42.99475964809672,51,male,MYE,,https://app.boardroomalpha.com/people/A1354708
Aaron M Schapper,CEO: MYERS INDUSTRIES INC since Jan 2025,Director,A,42.99475964809667,51,male,MYE,,https://app.boardroomalpha.com/people/A1354708
A Haag Sherman,CEO: TECTONIC FINANCIAL INC since Sep 2024,CEO,A,16.27827155565409,58,male,TECTP,,https://app.boardroomalpha.com/people/A1049530
A Haag Sherman,CEO: TECTONIC FINANCIAL INC since Sep 2024,Director,D,-15.67560256,58,male,"CBZ, TECTP","BDCO, HTH, MILLQ, ZAZA",https://app.boardroomalpha.com/people/A1049530
Aman Narang,CEO: TOAST INC since Jan 2024,CEO,A,68.18989324,42,male,TOST,,https://app.boardroomalpha.com/people/A1369991
Aman Narang,CEO: TOAST INC since Jan 2024,Director,B-,-6.741174369,42,male,TOST,,https://app.boardroomalpha.com/people/A1369991
Amir Vexler,CEO: CENTRUS ENERGY CORP since Jan 2024,CEO,A,133.0755780745143,51,male,LEU,,https://app.boardroomalpha.com/people/A1390219
Amir Vexler,CEO: CENTRUS ENERGY CORP since Jan 2024,Director,A,133.07557807451425,51,male,LEU,,https://app.boardroomalpha.com/people/A1390219
Anhco Nguyen,CEO: ATARA BIOTHERAPEUTICS INC since Sep 2024,CEO,A,56.20549235224208,52,male,ATRA,,https://app.boardroomalpha.com/people/A1386040
Anhco Nguyen,CEO: ATARA BIOTHERAPEUTICS INC since Sep 2024,Director,A,56.20549235224204,52,male,ATRA,,https://app.boardroomalpha.com/people/A1386040
Asher Genoot,CEO: HUT 8 CORP since Feb 2024,CEO,A,100.89340530286952,29,male,HUT,,https://app.boardroomalpha.com/people/A1389262
Asher Genoot,CEO: HUT 8 CORP since Feb 2024,Director,B+,72.30969611121157,29,male,"ABTC, HUT",,https://app.boardroomalpha.com/people/A1389262
Charles J Prober,CEO: NETGEAR INC since Jan 2024,CEO,A,46.445467727354185,53,male,NTGR,,https://app.boardroomalpha.com/people/A1317468
Charles J Prober,CEO: NETGEAR INC since Jan 2024,Director,A,58.14442462174148,53,male,"LIF, NTGR",SCPL,https://app.boardroomalpha.com/people/A1317468
Christine Barone,CEO: DUTCH BROS INC since Jan 2024,CEO,A,57.62817656549623,51,female,BROS,,https://app.boardroomalpha.com/people/A1353492
Christine Barone,CEO: DUTCH BROS INC since Jan 2024,Director,A-,10.333367843435614,51,female,"BROS, YELP",,https://app.boardroomalpha.com/people/A1353492
Christopher John Moore,CEO: GOGO INC since Dec 2024,CEO,A,29.89726826990424,49,male,GOGO,,https://app.boardroomalpha.com/people/A1398060
Christopher John Moore,CEO: GOGO INC since Dec 2024,Director,A,29.897268269904266,49,male,GOGO,,https://app.boardroomalpha.com/people/A1398060
Christopher T Calio,CEO: RTX CORP since May 2024,CEO,A,40.461152958150116,51,male,RTX,,https://app.boardroomalpha.com/people/A1319590
Christopher T Calio,CEO: RTX CORP since May 2024,Director,UN,21.18351292930576,51,male,RTX,,https://app.boardroomalpha.com/people/A1319590
Colleen Keating,CEO: PLANET FITNESS INC since Jun 2024,CEO,A,43.92661319839526,56,female,PLNT,,https://app.boardroomalpha.com/people/A1394275
Colleen Keating,CEO: PLANET FITNESS INC since Jun 2024,Director,A,43.92661319839528,56,female,PLNT,,https://app.boardroomalpha.com/people/A1394275
Dale A Asplund,CEO: BRIGHTVIEW HOLDINGS INC since Oct 2023,CEO,A,31.20278118720885,57,male,BV,,https://app.boardroomalpha.com/people/A1155946
Dale A Asplund,CEO: BRIGHTVIEW HOLDINGS INC since Oct 2023,Director,A,31.20278118720885,57,male,BV,,https://app.boardroomalpha.com/people/A1155946
Edward N Pick,CEO: MORGAN STANLEY since Jan 2024,CEO,A,43.194104268814804,69,male,MS,,https://app.boardroomalpha.com/people/A1353048
Edward N Pick,CEO: MORGAN STANLEY since Jan 2024,Director,A,43.19410426881478,69,male,MS,,https://app.boardroomalpha.com/people/A1353048
Fillipo “Peter” Caldini,CEO: ESTABLISHMENT LABS HOLDINGS INC since Mar 2025,CEO,A,17.86317937252948,59,male,ESTA,,https://app.boardroomalpha.com/people/A1360103
Fillipo “Peter” Caldini,CEO: ESTABLISHMENT LABS HOLDINGS INC since Mar 2025,Director,UN,,59,male,ESTA,,https://app.boardroomalpha.com/people/A1360103
Franco Fogliato,CEO: FOSSIL GROUP INC since Sep 2024,CEO,A,149.63661824691238,56,male,FOSL,,https://app.boardroomalpha.com/people/A1162452
Franco Fogliato,CEO: FOSSIL GROUP INC since Sep 2024,Director,A,149.63661824691235,56,male,FOSL,,https://app.boardroomalpha.com/people/A1162452
Gary C Evan,CEO: UNITED STATES ANTIMONY CORP since Mar 2024,CEO,A,625.1239856255532,68,male,UAMY,,https://app.boardroomalpha.com/people/A1017756
Gary C Evan,CEO: UNITED STATES ANTIMONY CORP since Mar 2024,Director,C-,7.246497171726074,68,male,UAMY,"GRHHQ, MHR1, MHRCQ, NVAX",https://app.boardroomalpha.com/people/A1017756
Gary G Smalley,CEO: TUTOR PERINI CORP since Jan 2024,CEO,A,208.23498323723985,66,male,TPC,,https://app.boardroomalpha.com/people/A1075968
Gary G Smalley,CEO: TUTOR PERINI CORP since Jan 2024,CFO,D,-9.486196066,66,male,,TPC,https://app.boardroomalpha.com/people/A1075968
Gary G Smalley,CEO: TUTOR PERINI CORP since Jan 2024,Director,B,140.8917488615785,66,male,TPC,,https://app.boardroomalpha.com/people/A1075968
Gregory Clark Anderson,CEO: ALLEGIANT TRAVEL CO since Sep 2024,CEO,A,47.51032285447856,43,male,ALGT,,https://app.boardroomalpha.com/people/A1101172
Gregory Clark Anderson,CEO: ALLEGIANT TRAVEL CO since Sep 2024,CFO,C-,-11.14359397,43,male,,ALGT,https://app.boardroomalpha.com/people/A1101172
Gregory Clark Anderson,CEO: ALLEGIANT TRAVEL CO since Sep 2024,Director,A,47.51032285,43,male,ALGT,,https://app.boardroomalpha.com/people/A1101172
Hong Q Hou,CEO: SEMTECH CORP since Jun 2024,CEO,A,36.54509416159642,61,male,SMTC,,https://app.boardroomalpha.com/people/A1010621
Hong Q Hou,CEO: SEMTECH CORP since Jun 2024,Director,B-,-4.00913466,61,male,SMTC,EMKR,https://app.boardroomalpha.com/people/A1010621
Ian F Smith,CEO: STOKE THERAPEUTICS INC since Mar 2025,CEO,A,112.93779990134082,59,male,STOK,,https://app.boardroomalpha.com/people/A1020320
Ian F Smith,CEO: STOKE THERAPEUTICS INC since Mar 2025,CFO,A,103.46543238669321,59,male,,VRTX,https://app.boardroomalpha.com/people/A1020320
Ian F Smith,CEO: STOKE THERAPEUTICS INC since Mar 2025,Director,C-,-14.73549154,59,male,"FHTX, STOK","ACORQ, EPIX1, INFI, ISEE, SLDB",https://app.boardroomalpha.com/people/A1020320
Jacob Dewitte,CEO: OKLO INC since May 2024,CEO,A,288.45532659124814,39,male,OKLO,,https://app.boardroomalpha.com/people/A1393576
Jacob Dewitte,CEO: OKLO INC since May 2024,Director,A,288.4553265912481,39,male,OKLO,,https://app.boardroomalpha.com/people/A1393576
James Caldwell Flores,CEO: SABLE OFFSHORE CORP since Feb 2024,CEO,A,53.12260706,32,male,SOC,,https://app.boardroomalpha.com/people/A1390884
James Caldwell Flores,CEO: SABLE OFFSHORE CORP since Feb 2024,Director,A,53.12260706,32,male,SOC,,https://app.boardroomalpha.com/people/A1390884
Jason Long,CEO: LANDBRIDGE CO LLC since Jan 2024,CEO,A,94.05582500254607,43,male,LB,,https://app.boardroomalpha.com/people/A1394619
Jason Long,CEO: LANDBRIDGE CO LLC since Jan 2024,Director,B,94.05582500254603,43,male,"LB, WBI",,https://app.boardroomalpha.com/people/A1394619
J David Joyner,CEO: CVS HEALTH CORP since Oct 2024,CEO,A,32.25089091535944,60,male,CVS,,https://app.boardroomalpha.com/people/A1314506
J David Joyner,CEO: CVS HEALTH CORP since Oct 2024,Director,A,32.25089091535944,60,male,CVS,,https://app.boardroomalpha.com/people/A1314506
Jennifer Lynn Slater,CEO: STRATTEC SECURITY CORP since Jul 2024,CEO,A,111.98892018231703,50,female,STRT,,https://app.boardroomalpha.com/people/A1378712
Jennifer Lynn Slater,CEO: STRATTEC SECURITY CORP since Jul 2024,Director,B,19.43850037547914,50,female,"STRT, VVV",,https://app.boardroomalpha.com/people/A1378712
