company,composite_score,emergence_boost,latest_insider_date,latest_price_date,leadership_score,note,person,role,tenure_start,ticker,top_drivers,trajectory_score,why_watch
IZEA,1.0269444444444444,0.17962962962962964,2025-10-13,2025-10-15,1.0,"IZEA — IZEA | P(s)=1.00, Emerg=0.180. Tenure start 2025-05-15. Freshness: price 2025-10-15, insider 2025-10-13.",Patrick James Venetucci,CEO,2025-05-15,IZEA,"['pre_3m_return ↑ (val=0.295)', 'cap_alloc_buyback_rate ↑ (val=0.000)', 'cap_alloc_dilution_rate ↑ (val=0.000)']",0.02247993744999809,"P(success)=1.00. Signals: pre_3m_return ↑ (val=0.295), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Emergence=0.180 (newness=0.72, insider=0.00). Sector=Unknown."
LB,0.9693791417129635,0.045370370370370366,2025-10-13,2025-10-15,0.962573586157408,"LB — LB | P(s)=0.96, Emerg=0.045. Tenure start 2024-07-29. Freshness: price 2025-10-15, insider 2025-10-13.",Jason Long,CEO,2024-07-29,LB,"['pre_3m_return ↑ (val=0.299)', 'cap_alloc_buyback_rate ↑ (val=0.000)', 'cap_alloc_dilution_rate ↑ (val=0.000)']",0.022836920864905626,"P(success)=0.96. Signals: pre_3m_return ↑ (val=0.299), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Emergence=0.045 (newness=0.18, insider=0.00). Sector=Unknown."
SKIL,0.9334477348581939,0.17222222222222222,2025-10-13,2025-10-15,0.9076144015248605,"SKIL — SKIL | P(s)=0.91, Emerg=0.172. Tenure start 2025-04-29. Freshness: price 2025-10-15, insider 2025-10-13.",Ronald W Hovsepian,CEO,2025-04-29,SKIL,"['pre_3m_return ↑ (val=0.196)', 'cap_alloc_buyback_rate ↑ (val=0.000)', 'cap_alloc_dilution_rate ↑ (val=0.000)']",0.013436970534483061,"P(success)=0.91. Signals: pre_3m_return ↑ (val=0.196), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Emergence=0.172 (newness=0.69, insider=0.00). Sector=Unknown."
LEU,0.9212399307565804,0.16944444444444445,2025-10-13,2025-10-15,0.8958232640899138,"LEU — LEU | P(s)=0.90, Emerg=0.169. Tenure start 2025-04-23. Freshness: price 2025-10-15, insider 2025-10-13.",Amir Vexler,CEO,2025-04-23,LEU,"['pre_3m_return ↑ (val=0.190)', 'cap_alloc_buyback_rate ↑ (val=0.000)', 'cap_alloc_dilution_rate ↑ (val=0.000)']",0.012903672680250113,"P(success)=0.90. Signals: pre_3m_return ↑ (val=0.190), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Emergence=0.169 (newness=0.68, insider=0.00). Sector=Unknown."
GOGO,0.8993387008794174,0.1587962962962963,2025-10-13,2025-10-15,0.875519256434973,"GOGO — GOGO | P(s)=0.88, Emerg=0.159. Tenure start 2025-03-31. Freshness: price 2025-10-15, insider 2025-10-13.",Christopher John Moore,CEO,2025-03-31,GOGO,"['pre_3m_return ↑ (val=0.182)', 'cap_alloc_buyback_rate ↑ (val=0.000)', 'cap_alloc_dilution_rate ↑ (val=0.000)']",0.012173844673208516,"P(success)=0.88. Signals: pre_3m_return ↑ (val=0.182), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Emergence=0.159 (newness=0.64, insider=0.00). Sector=Unknown."
ARTW,0.8990968280400284,0.1050925925925926,2025-10-13,2025-10-15,0.8833329391511395,"ARTW — ARTW | P(s)=0.88, Emerg=0.105. Tenure start 2024-12-05. Freshness: price 2025-10-15, insider 2025-10-13.",Marc H McConnell,CEO,2024-12-05,ARTW,"['pre_3m_return ↑ (val=0.201)', 'cap_alloc_buyback_rate ↑ (val=0.000)', 'cap_alloc_dilution_rate ↑ (val=0.000)']",0.013933847801910247,"P(success)=0.88. Signals: pre_3m_return ↑ (val=0.201), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Emergence=0.105 (newness=0.42, insider=0.00). Sector=Unknown."
VS,0.8916509087533594,0.1486111111111111,2025-10-13,2025-10-15,0.8693592420866927,"VS — VS | P(s)=0.87, Emerg=0.149. Tenure start 2025-03-09. Freshness: price 2025-10-15, insider 2025-10-13.",Luis Goldner,CEO,2025-03-09,VS,"['pre_3m_return ↑ (val=0.181)', 'cap_alloc_buyback_rate ↑ (val=0.000)', 'cap_alloc_dilution_rate ↑ (val=0.000)']",0.012123396780185992,"P(success)=0.87. Signals: pre_3m_return ↑ (val=0.181), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Emergence=0.149 (newness=0.59, insider=0.00). Sector=Unknown."
RTX,0.8625368965651119,0.13101851851851853,2025-10-13,2025-10-15,0.8428841187873342,"RTX — RTX | P(s)=0.84, Emerg=0.131. Tenure start 2025-01-30. Freshness: price 2025-10-15, insider 2025-10-13.",Christopher T Calio,CEO,2025-01-30,RTX,"['pre_3m_return ↑ (val=0.172)', 'cap_alloc_buyback_rate ↑ (val=0.000)', 'cap_alloc_dilution_rate ↑ (val=0.000)']",0.011314609697282657,"P(success)=0.84. Signals: pre_3m_return ↑ (val=0.172), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Emergence=0.131 (newness=0.52, insider=0.00). Sector=Unknown."
Unknown Company,0.8562276689505803,0.15324074074074073,2025-10-13,2025-10-15,0.8332415578394692,"UNKN034 — Unknown Company | P(s)=0.83, Emerg=0.153. Tenure start 2025-03-19. Freshness: price 2025-10-15, insider 2025-10-13.",Gary G Smalley,CFO,2025-03-19,UNKN034,"['pre_3m_return ↑ (val=0.162)', 'cap_alloc_buyback_rate ↑ (val=0.000)', 'cap_alloc_dilution_rate ↑ (val=0.000)']",0.010421572702421033,"P(success)=0.83. Signals: pre_3m_return ↑ (val=0.162), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Emergence=0.153 (newness=0.61, insider=0.00). Sector=Unknown."
STAAR Surgical,0.8392824564105753,0.1675925925925926,2025-10-13,2025-10-15,0.8141435675216864,"STAA — STAAR Surgical | P(s)=0.81, Emerg=0.168. Tenure start 2025-04-19. Freshness: price 2025-10-15, insider 2025-10-13.",Stephen C Farrell,CEO,2025-04-19,STAA,"['pre_3m_return ↑ (val=0.151)', 'cap_alloc_buyback_rate ↑ (val=0.000)', 'cap_alloc_dilution_rate ↑ (val=0.000)']",0.009361989760716257,"P(success)=0.81. Signals: pre_3m_return ↑ (val=0.151), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Emergence=0.168 (newness=0.67, insider=0.00). Sector=Health."
DOUG,0.8211806947167639,0.13101851851851853,2025-10-13,2025-10-15,0.8015279169389862,"DOUG — DOUG | P(s)=0.80, Emerg=0.131. Tenure start 2025-01-30. Freshness: price 2025-10-15, insider 2025-10-13.",Michael Liebowitz,CEO,2025-01-30,DOUG,"['pre_3m_return ↑ (val=0.153)', 'cap_alloc_buyback_rate ↑ (val=0.000)', 'cap_alloc_dilution_rate ↑ (val=0.000)']",0.009584821800068716,"P(success)=0.80. Signals: pre_3m_return ↑ (val=0.153), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Emergence=0.131 (newness=0.52, insider=0.00). Sector=Unknown."
DNTH,0.7961415748758903,0.21203703703703702,2025-10-13,2025-10-15,0.7643360193203348,"DNTH — DNTH | P(s)=0.76, Emerg=0.212. Tenure start 2025-07-24. Freshness: price 2025-10-15, insider 2025-10-13.",Marino Garcia,CEO,2025-07-24,DNTH,"['pre_3m_return ↑ (val=0.122)', 'cap_alloc_buyback_rate ↑ (val=0.000)', 'cap_alloc_dilution_rate ↑ (val=0.000)']",0.006744285215436277,"P(success)=0.76. Signals: pre_3m_return ↑ (val=0.122), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Emergence=0.212 (newness=0.85, insider=0.00). Sector=Unknown."
TRUP,0.7740135047200594,0.21851851851851853,2025-10-13,2025-10-15,0.7412357269422816,"TRUP — TRUP | P(s)=0.74, Emerg=0.219. Tenure start 2025-08-07. Freshness: price 2025-10-15, insider 2025-10-13.",Margaret Tooth,CEO,2025-08-07,TRUP,"['pre_3m_return ↑ (val=0.112)', 'cap_alloc_buyback_rate ↑ (val=0.000)', 'cap_alloc_dilution_rate ↑ (val=0.000)']",0.005859622895179631,"P(success)=0.74. Signals: pre_3m_return ↑ (val=0.112), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Emergence=0.219 (newness=0.87, insider=0.00). Sector=Unknown."
Atara Biotherapeutics,0.7702411068709485,0.04768518518518519,2025-10-13,2025-10-15,0.7630883290931707,"ATRA — Atara Biotherapeutics | P(s)=0.76, Emerg=0.048. Tenure start 2024-08-03. Freshness: price 2025-10-15, insider 2025-10-13.",Anhco Nguyen,CEO,2024-08-03,ATRA,"['pre_3m_return ↑ (val=0.155)', 'cap_alloc_buyback_rate ↑ (val=0.000)', 'cap_alloc_dilution_rate ↑ (val=0.000)']",0.009712985529553814,"P(success)=0.76. Signals: pre_3m_return ↑ (val=0.155), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Emergence=0.048 (newness=0.19, insider=0.00). Sector=Health."
PVLA,0.7656742512331318,0.10972222222222222,2025-10-13,2025-10-15,0.7492159178997985,"PVLA — PVLA | P(s)=0.75, Emerg=0.110. Tenure start 2024-12-15. Freshness: price 2025-10-15, insider 2025-10-13.",Wes Kaupinen,CEO,2024-12-15,PVLA,"['pre_3m_return ↑ (val=0.136)', 'cap_alloc_buyback_rate ↑ (val=0.000)', 'cap_alloc_dilution_rate ↑ (val=0.000)']",0.008010578843264154,"P(success)=0.75. Signals: pre_3m_return ↑ (val=0.136), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Emergence=0.110 (newness=0.44, insider=0.00). Sector=Unknown."
STOK,0.7441387658638198,0.09861111111111112,2025-10-13,2025-10-15,0.7293470991971531,"STOK — STOK | P(s)=0.73, Emerg=0.099. Tenure start 2024-11-21. Freshness: price 2025-10-15, insider 2025-10-13.",Ian F Smith,CEO,2024-11-21,STOK,"['pre_3m_return ↑ (val=0.130)', 'cap_alloc_buyback_rate ↑ (val=0.000)', 'cap_alloc_dilution_rate ↑ (val=0.000)']",0.007498724815231019,"P(success)=0.73. Signals: pre_3m_return ↑ (val=0.130), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Emergence=0.099 (newness=0.39, insider=0.00). Sector=Unknown."
